id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
6402,2017-06-01,,One year,Yes,Electronic check,79.25,2619.15,Fiber optic,No,No,No,Yes,No,No,Male,0,Yes,No,Yes,0
6403,2018-05-01,,Two year,No,Credit card (automatic),71.05,1524.85,DSL,Yes,Yes,No,Yes,Yes,No,Female,0,No,No,No,0
6404,2015-10-01,,One year,No,Electronic check,53.75,2790.65,DSL,Yes,No,Yes,No,No,No,Male,0,No,No,No,0
6405,2014-02-01,,Two year,No,Credit card (automatic),24.25,1784.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
6406,2014-01-01,2020-01-01,Two year,Yes,Electronic check,54.2,3937.45,DSL,No,Yes,Yes,No,Yes,Yes,Female,0,Yes,No,No,1
6407,2015-10-01,,One year,No,Bank transfer (automatic),44.25,2276.1,DSL,Yes,No,Yes,No,No,Yes,Male,0,Yes,Yes,No,0
6408,2016-09-01,,One year,No,Bank transfer (automatic),50.05,2029.05,DSL,No,No,No,Yes,No,No,Female,0,No,No,No,0
6409,2016-09-01,,Two year,No,Mailed check,20.15,802.35,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
6410,2019-05-01,2019-11-01,Month-to-month,Yes,Mailed check,69.25,418.4,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
6411,2014-07-01,,One year,Yes,Credit card (automatic),69.35,4653.25,DSL,Yes,Yes,Yes,Yes,No,No,Male,0,Yes,Yes,Yes,0
6412,2018-10-01,,Month-to-month,No,Mailed check,19.35,275.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
6413,2018-09-01,,Two year,No,Mailed check,19.15,343.45,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
6414,2017-03-01,,Month-to-month,No,Mailed check,61.0,2130.45,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,No,No,0
6415,2015-04-01,,Two year,No,Credit card (automatic),20.5,1191.4,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
6416,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,50.5,50.5,DSL,No,No,Yes,No,No,No,Male,0,No,No,No,1
6417,2015-10-01,,Two year,No,Mailed check,50.2,2554.0,DSL,No,Yes,Yes,Yes,Yes,No,Male,0,Yes,Yes,No,0
6418,2014-04-01,,Two year,No,Bank transfer (automatic),79.6,5589.45,DSL,Yes,No,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
6419,2018-07-01,,Two year,Yes,Bank transfer (automatic),24.9,467.7,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
6420,2019-09-01,2019-10-01,Month-to-month,Yes,Electronic check,74.4,74.4,Fiber optic,No,No,No,No,No,No,Male,1,No,No,Yes,1
6421,2017-03-01,,Month-to-month,Yes,Electronic check,106.9,3756.45,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
6422,2017-06-01,,Month-to-month,Yes,Electronic check,101.35,3334.9,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,0
6423,2018-09-01,,Month-to-month,Yes,Credit card (automatic),55.35,920.5,DSL,Yes,No,No,Yes,No,No,Female,0,Yes,Yes,No,0
6424,2014-07-01,,One year,No,Credit card (automatic),50.55,3431.75,DSL,No,Yes,No,No,No,No,Female,0,Yes,Yes,No,0
6425,2019-05-01,,Month-to-month,No,Bank transfer (automatic),19.5,150.35,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
6426,2017-03-01,2019-10-01,One year,Yes,Mailed check,79.45,2587.7,DSL,No,Yes,No,Yes,Yes,Yes,Male,0,No,Yes,Yes,1
6427,2019-10-01,,Month-to-month,No,Electronic check,90.65,367.95,Fiber optic,Yes,No,No,No,Yes,No,Male,0,No,No,Yes,0
6428,2015-04-01,,One year,Yes,Bank transfer (automatic),89.85,5125.75,Fiber optic,Yes,Yes,No,Yes,No,No,Male,1,Yes,Yes,Yes,0
6429,2015-02-01,,One year,No,Mailed check,79.0,4801.1,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,0
6430,2015-02-01,2019-12-01,One year,Yes,Electronic check,104.65,6219.6,Fiber optic,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,1
6431,2020-01-01,,Month-to-month,No,Mailed check,19.55,19.55,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
6432,2017-11-01,,Two year,No,Mailed check,19.9,550.1,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
6433,2014-08-01,,One year,Yes,Electronic check,116.25,7862.25,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,0
6434,2018-11-01,,Month-to-month,Yes,Bank transfer (automatic),87.75,1242.2,Fiber optic,Yes,No,No,No,Yes,No,Male,0,No,No,Yes,0
6435,2016-02-01,2020-01-01,Month-to-month,Yes,Electronic check,100.05,4871.05,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,1
6436,2016-09-01,,Month-to-month,Yes,Credit card (automatic),81.3,3190.65,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,Yes,0
6437,2015-03-01,,Month-to-month,Yes,Electronic check,44.3,2666.75,DSL,No,No,No,No,Yes,Yes,Male,0,Yes,No,No,0
6438,2015-12-01,,Two year,No,Credit card (automatic),70.35,3533.6,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,No,0
6439,2018-09-01,,One year,No,Credit card (automatic),44.45,792.15,DSL,Yes,No,Yes,No,Yes,No,Male,0,Yes,Yes,No,0
6440,2019-08-01,,Month-to-month,Yes,Electronic check,49.15,295.65,DSL,Yes,No,No,No,No,No,Male,0,Yes,Yes,No,0
6441,2015-11-01,,Month-to-month,Yes,Credit card (automatic),29.45,1459.35,DSL,No,Yes,No,No,No,No,Male,1,Yes,No,No,0
6442,2016-02-01,2019-10-01,Month-to-month,No,Electronic check,100.55,4398.15,Fiber optic,No,Yes,No,Yes,Yes,Yes,Male,0,No,No,No,1
6443,2016-01-01,,Month-to-month,Yes,Credit card (automatic),85.3,4297.95,Fiber optic,No,Yes,No,No,Yes,No,Male,0,Yes,No,No,0
6444,2019-08-01,2019-10-01,Month-to-month,No,Electronic check,95.65,167.3,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,No,No,1
6445,2015-03-01,,One year,Yes,Mailed check,69.1,4096.9,DSL,Yes,No,No,Yes,No,Yes,Male,0,Yes,No,Yes,0
6446,2015-12-01,,Month-to-month,Yes,Bank transfer (automatic),70.35,3454.6,DSL,Yes,Yes,No,No,Yes,No,Male,1,No,No,Yes,0
6447,2015-03-01,,Two year,No,Mailed check,20.6,1286.0,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
6448,2018-08-01,,Month-to-month,No,Mailed check,74.15,1387.0,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
6449,2019-04-01,,Month-to-month,No,Electronic check,75.05,786.3,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
6450,2018-12-01,,One year,No,Electronic check,44.6,641.25,DSL,No,No,No,No,No,No,Male,0,Yes,No,No,0
6451,2017-03-01,,Two year,No,Bank transfer (automatic),21.45,705.45,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
6452,2019-06-01,,One year,Yes,Mailed check,43.45,345.5,DSL,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
6453,2018-08-01,,One year,No,Bank transfer (automatic),20.05,345.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
6454,2015-02-01,,One year,No,Bank transfer (automatic),94.15,5811.8,Fiber optic,Yes,Yes,No,No,Yes,No,Female,0,Yes,Yes,Yes,0
6455,2019-09-01,2019-10-01,Month-to-month,No,Electronic check,94.4,94.4,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,No,1
6456,2019-08-01,,Two year,No,Mailed check,19.55,124.45,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
6457,2018-07-01,,Month-to-month,Yes,Mailed check,75.9,1375.6,DSL,Yes,Yes,No,Yes,Yes,No,Female,0,No,Yes,Yes,0
6458,2015-09-01,,One year,No,Bank transfer (automatic),64.15,3491.55,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,0
6459,2014-02-01,,Two year,Yes,Bank transfer (automatic),109.55,7920.7,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Male,1,Yes,No,Yes,0
6460,2015-02-01,,Two year,Yes,Credit card (automatic),110.8,6640.7,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
6461,2019-12-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),55.0,55.0,DSL,No,No,No,No,Yes,No,Female,0,No,No,No,1
6462,2019-01-01,,Month-to-month,No,Mailed check,53.45,718.1,DSL,No,No,Yes,Yes,No,No,Female,0,No,Yes,No,0
6463,2019-09-01,,Month-to-month,No,Credit card (automatic),69.95,320.4,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
6464,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,101.45,101.45,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
6465,2019-01-01,,Month-to-month,No,Electronic check,97.0,1334.45,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,0
6466,2017-01-01,,One year,Yes,Bank transfer (automatic),90.6,3358.65,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,0
6467,2014-10-01,,Month-to-month,Yes,Mailed check,73.55,4764.0,Fiber optic,Yes,No,No,No,No,No,Male,0,Yes,No,No,0
6468,2019-07-01,2019-12-01,Month-to-month,No,Bank transfer (automatic),67.95,350.3,DSL,No,No,Yes,Yes,Yes,No,Female,0,Yes,No,Yes,1
6469,2015-01-01,,Two year,Yes,Bank transfer (automatic),94.35,5703.0,Fiber optic,No,Yes,No,Yes,No,Yes,Female,0,Yes,No,Yes,0
6470,2019-10-01,2019-11-01,Month-to-month,Yes,Electronic check,69.5,69.5,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
6471,2019-11-01,2019-12-01,Month-to-month,Yes,Mailed check,18.85,18.85,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
6472,2017-12-01,,One year,No,Mailed check,19.4,525.55,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
6473,2019-09-01,2019-10-01,Month-to-month,Yes,Electronic check,69.2,69.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
6474,2018-02-01,,Two year,No,Mailed check,19.75,483.15,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
6475,2018-09-01,,One year,No,Electronic check,54.6,934.8,DSL,No,No,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,0
6476,2017-12-01,,Month-to-month,Yes,Mailed check,29.8,786.5,DSL,No,No,Yes,No,No,No,Female,0,No,Yes,No,0
6477,2019-09-01,2019-10-01,Month-to-month,Yes,Electronic check,69.65,69.65,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
6478,2016-06-01,2019-10-01,Month-to-month,No,Electronic check,101.85,4086.3,Fiber optic,Yes,No,No,No,Yes,Yes,Male,1,Yes,No,Yes,1
6479,2015-10-01,,Month-to-month,Yes,Electronic check,103.05,5364.8,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,0
6480,2019-10-01,2019-11-01,Month-to-month,Yes,Electronic check,82.3,82.3,Fiber optic,No,Yes,Yes,No,No,No,Female,0,No,No,No,1
6481,2018-05-01,,Two year,No,Mailed check,35.1,770.4,DSL,Yes,No,No,Yes,No,No,Female,0,No,No,No,0
6482,2014-07-01,,One year,Yes,Bank transfer (automatic),105.7,6816.95,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0
6483,2016-06-01,,Month-to-month,No,Bank transfer (automatic),56.25,2419.55,DSL,Yes,No,No,Yes,No,No,Female,0,Yes,Yes,No,0
6484,2014-04-01,,One year,No,Electronic check,60.35,4138.7,DSL,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
6485,2019-07-01,2019-10-01,Month-to-month,No,Electronic check,79.25,267.6,Fiber optic,No,No,No,No,Yes,No,Male,0,No,No,No,1
6486,2015-06-01,,Two year,Yes,Bank transfer (automatic),59.8,3457.45,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,0
6487,2018-09-01,2019-10-01,Month-to-month,Yes,Electronic check,84.6,1115.2,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,1
6488,2015-02-01,2019-12-01,Month-to-month,Yes,Bank transfer (automatic),93.4,5435.6,Fiber optic,Yes,Yes,No,No,No,Yes,Female,0,Yes,Yes,Yes,1
6489,2016-04-01,2019-10-01,Month-to-month,Yes,Electronic check,94.2,4186.3,Fiber optic,No,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,1
6490,2019-09-01,2019-10-01,Month-to-month,No,Electronic check,25.05,25.05,DSL,No,No,No,No,No,No,Male,1,Yes,No,No,1
6491,2016-04-01,,Two year,No,Mailed check,99.65,4630.2,Fiber optic,Yes,No,Yes,Yes,No,Yes,Female,0,Yes,Yes,Yes,0
6492,2014-11-01,,Two year,Yes,Bank transfer (automatic),50.65,3221.25,DSL,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,0
6493,2019-03-01,,Month-to-month,Yes,Electronic check,60.9,688.5,DSL,No,Yes,Yes,Yes,No,No,Male,0,No,No,No,0
6494,2018-11-01,,Month-to-month,Yes,Bank transfer (automatic),59.65,867.1,DSL,No,No,Yes,Yes,No,No,Male,0,Yes,Yes,Yes,0
6495,2014-02-01,,Two year,Yes,Electronic check,64.7,4746.05,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,0
6496,2017-05-01,2019-10-01,Month-to-month,Yes,Credit card (automatic),25.1,712.85,DSL,No,No,No,No,No,No,Female,0,No,No,No,1
6497,2019-10-01,2019-11-01,Month-to-month,No,Electronic check,48.95,48.95,DSL,No,No,Yes,No,No,No,Male,0,No,Yes,No,1
6498,2019-08-01,,Month-to-month,No,Electronic check,54.85,355.1,DSL,No,No,No,No,Yes,No,Female,0,Yes,Yes,No,0
6499,2019-12-01,2020-01-01,Month-to-month,No,Electronic check,45.3,45.3,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
6500,2014-11-01,,One year,Yes,Electronic check,91.35,5764.7,Fiber optic,No,Yes,No,No,No,Yes,Male,0,Yes,Yes,Yes,0
6501,2019-09-01,2019-11-01,Month-to-month,Yes,Electronic check,85.85,167.3,Fiber optic,No,No,Yes,No,No,Yes,Male,0,No,No,No,1
6502,2018-08-01,,Two year,No,Mailed check,25.1,428.45,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
6503,2016-07-01,,Month-to-month,No,Bank transfer (automatic),34.0,1505.35,DSL,Yes,No,No,Yes,No,No,Female,0,Yes,No,No,0
6504,2018-11-01,,One year,No,Mailed check,45.9,693.45,DSL,Yes,Yes,Yes,Yes,No,No,Female,0,No,No,No,0
6505,2018-12-01,2019-10-01,Month-to-month,No,Electronic check,95.2,930.4,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,Yes,Yes,1
6506,2015-07-01,,Two year,No,Mailed check,20.5,1177.95,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
6507,2015-10-01,2019-11-01,One year,Yes,Bank transfer (automatic),100.6,5069.65,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,No,Yes,Yes,1
6508,2019-05-01,2019-11-01,Month-to-month,Yes,Mailed check,55.3,324.25,DSL,No,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,1
6509,2014-04-01,,Two year,No,Credit card (automatic),20.35,1458.1,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
6510,2019-09-01,2019-11-01,Month-to-month,Yes,Mailed check,74.85,156.4,Fiber optic,No,No,No,No,No,No,Male,1,No,No,Yes,1
6511,2014-11-01,,One year,No,Bank transfer (automatic),36.1,2298.9,DSL,Yes,No,No,Yes,No,No,Male,1,Yes,No,No,0
6512,2018-01-01,,Month-to-month,Yes,Bank transfer (automatic),65.8,1679.65,DSL,No,Yes,No,Yes,No,Yes,Female,0,No,No,No,0
6513,2018-08-01,,One year,No,Bank transfer (automatic),20.35,369.6,Fiber optic,No,No,No,No,No,No,Female,1,No,No,No,0
6514,2017-10-01,,Month-to-month,Yes,Electronic check,105.8,2998.0,Fiber optic,No,Yes,No,Yes,Yes,Yes,Male,1,Yes,No,Yes,0
6515,2015-09-01,,One year,Yes,Mailed check,96.75,5206.55,Fiber optic,Yes,Yes,No,Yes,No,Yes,Female,1,No,No,No,0
6516,2016-12-01,2019-11-01,One year,Yes,Bank transfer (automatic),102.35,3626.1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,No,1
6517,2020-01-01,,Month-to-month,No,Mailed check,24.4,24.4,DSL,No,No,No,No,No,No,Male,0,No,No,No,0
6518,2014-03-01,2020-01-01,One year,No,Credit card (automatic),115.65,7968.85,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,1
6519,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,79.85,152.45,Fiber optic,No,No,Yes,Yes,No,No,Male,0,No,No,No,1
6520,2017-12-01,,Month-to-month,Yes,Electronic check,73.05,1959.5,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,No,No,0
6521,2017-04-01,,One year,No,Electronic check,64.35,2053.05,DSL,Yes,Yes,No,No,No,Yes,Female,0,No,No,No,0
6522,2018-07-01,,Two year,No,Mailed check,20.5,398.55,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,No,0
6523,2018-07-01,2019-10-01,Month-to-month,Yes,Mailed check,76.0,1130.85,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,1
6524,2014-12-01,,One year,No,Credit card (automatic),54.75,3425.35,DSL,Yes,No,Yes,No,No,No,Female,0,Yes,Yes,No,0
6525,2016-04-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),104.75,4323.45,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,No,No,Yes,1
6526,2019-04-01,2020-01-01,Month-to-month,Yes,Electronic check,74.65,703.55,DSL,Yes,Yes,No,No,Yes,Yes,Female,0,No,No,No,1
6527,2018-02-01,,Month-to-month,Yes,Electronic check,51.15,1275.7,DSL,Yes,No,No,No,No,No,Male,0,No,No,No,0
6528,2014-06-01,,Two year,Yes,Electronic check,41.95,2965.75,DSL,Yes,Yes,Yes,No,No,No,Male,1,Yes,No,No,0
6529,2017-07-01,,Month-to-month,No,Mailed check,54.35,1647.0,DSL,No,No,Yes,Yes,No,No,Male,0,Yes,Yes,No,0
6530,2019-09-01,2019-10-01,Month-to-month,Yes,Electronic check,56.25,56.25,DSL,No,No,No,No,No,Yes,Female,0,No,No,No,1
6531,2018-04-01,2020-01-01,Month-to-month,Yes,Electronic check,106.1,2249.95,Fiber optic,No,No,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,1
6532,2014-11-01,,One year,Yes,Electronic check,96.0,6109.75,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,No,0
6533,2019-09-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),79.75,159.4,Fiber optic,No,No,No,No,No,Yes,Female,1,No,No,No,1
6534,2015-01-01,,Two year,Yes,Bank transfer (automatic),61.45,3751.15,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
6535,2019-10-01,2019-11-01,Month-to-month,No,Electronic check,68.65,68.65,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
6536,2018-08-01,,One year,No,Mailed check,19.65,411.25,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
6537,2019-08-01,,One year,No,Credit card (automatic),19.0,105.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
6538,2017-05-01,,Month-to-month,Yes,Electronic check,100.0,3320.6,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,No,No,Yes,0
6539,2018-06-01,2019-10-01,Month-to-month,No,Bank transfer (automatic),20.25,327.45,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
6540,2015-06-01,,Month-to-month,Yes,Electronic check,98.7,5669.5,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,0
6541,2018-03-01,,One year,No,Mailed check,19.8,465.45,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
6542,2019-05-01,,Month-to-month,Yes,Electronic check,73.8,704.3,Fiber optic,No,No,Yes,No,No,No,Male,0,No,No,No,0
6543,2018-08-01,2019-10-01,Month-to-month,Yes,Electronic check,100.2,1369.8,Fiber optic,No,Yes,No,No,Yes,Yes,Female,1,Yes,No,Yes,1
6544,2018-10-01,2020-01-01,Month-to-month,Yes,Bank transfer (automatic),74.9,1107.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,1
